Time,X-stress,Y-stress-13883,Z-stress-13883,XY-stress-13883,YZ-stress-13883,ZX-stress-13883,Effective Stress (v-m)-13883, X-strain-13883, Y-strain-13883, Z-strain-13883, XY-strain-13883, YZ-strain-13883, ZX-strain-13883
0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
999.989868160000000,-0.000001938741207,-0.000001926037157,-0.000001999647793,-0.000000005379658,0.000000019321467,-0.000001375913826,0.000002384379968,-0.000006185967777,0.000001540190283,-0.000043227089918,-0.000003271710057,0.000011750606973,-0.000836780236570
1999.998535200000000,-0.000002530271559,-0.000002509778142,-0.000002601381311,0.000000006218583,-0.000000005944222,-0.000002116040832,0.000003666066277,-0.000010531978660,0.000001931368388,-0.000053778418078,0.000003781914074,-0.000003615057722,-0.001286898274000
2999.989990200000000,-0.000001690356726,-0.000001660120688,-0.000001714154109,-0.000000000814493,-0.000000000618391,-0.000003104081543,0.000005376631634,-0.000015086550775,0.000003301851848,-0.000029559232644,-0.000000495344636,-0.000000376082710,-0.001887788414000
3999.998535200000000,-0.000004303886271,-0.000004260378773,-0.000004389866717,-0.000000006735872,0.000000013975956,-0.000004247380730,0.000007357613413,-0.000026639285352,-0.000000179419999,-0.000078929311712,-0.000004096509656,0.000008499662727,-0.002583100926100
4999.989257800000000,-0.000006442106496,-0.000006342443157,-0.000006524357104,-0.000000000025158,0.000000008475497,-0.000005608911579,0.000009716211935,-0.000056071101426,0.000004540263490,-0.000106092891660,-0.000000015300056,0.000005154485734,-0.003411134006500
5999.997070300000000,-0.000000500454803,-0.000000288296803,-0.000000090113453,0.000000004542741,0.000000004729188,-0.000006615808161,0.000011464432646,-0.000128585219500,0.000000441485270,0.000120969321870,0.000002762728173,0.000002876118288,-0.004023491405000
6999.987304700000000,-0.000013034659787,-0.000012828571016,-0.000013174487322,-0.000000002241602,0.000000007234909,-0.000007972251297,0.000013811639292,-0.000119657604960,0.000005678206435,-0.000204695854340,-0.000001363259798,0.000004400005764,-0.004848430864500
7999.994140600000000,-0.000010231083252,-0.000009906888408,-0.000009982013580,0.000000008658431,0.000000010578264,-0.000009064950973,0.000015703724785,-0.000198172041560,-0.000001008684649,-0.000046696699428,0.000005265740128,0.000006433311683,-0.005512970034000
8999.983398400000000,-0.000000314906885,0.000000113594020,0.000000529038516,-0.000000005771953,0.000000010083673,-0.000009771551959,0.000016940612113,-0.000257059931760,0.000003538576038,0.000256196653940,-0.000003510289844,0.000006132519047,-0.005942699033800
9999.989257800000000,-0.000014763505533,-0.000014288743841,-0.000014440924133,0.000000004647494,0.000000012905650,-0.000010620578905,0.000018400189219,-0.000279986823440,0.000008745333616,-0.000083804821770,0.000002826435321,0.000007848741916,-0.006459045689600
10999.995117000000000,-0.000017375017705,-0.000016866679289,-0.000017062653569,0.000000006253466,-0.000000013616034,-0.000011591394468,0.000020081810362,-0.000305977184330,0.000003175649454,-0.000116009483460,0.000003803128266,-0.000008280770999,-0.007049460429700
