Time,X-stress-7168,Y-stress-7168,Z-stress-7168,XY-stress-7168,YZ-stress-7168,ZX-stress-7168,Effective Stress (v-m)-7168,Tresca (max shear stress)-7168,Maximum Principal Stress-7168,Minimum Principal Stress-7168,X-strain-7168,Y-strain-7168,Z-strain-7168,XY-strain-7168,YZ-strain-7168,ZX-strain-7168,Effective Strain-7168
0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
100.0000000000000000,0.0000000039700000,0.0000000078000000,0.0000000114000000,-0.0000000003840000,-0.0000000058100000,0.0000002820000000,0.0000004890000000,0.0000002820000000,0.0000002900000000,-0.0000002740000000,-0.0000022200000000,0.0000001080000000,0.0000023000000000,-0.0000002340000000,-0.0000035400000000,0.0001720000000000,0.0001980000000000
200.0000000000000000,-0.0000025800000000,-0.0000025600000000,-0.0000027300000000,0.0000000021300000,0.0000000558000000,0.0000020200000000,0.0000035100000000,0.0000020300000000,-0.0000006300000000,-0.0000046800000000,0.0000063200000000,0.0000172000000000,-0.0000878000000000,0.0000012900000000,0.0000339000000000,0.0012300000000000,0.0014200000000000
300.0000000000000000,-0.0000005660000000,-0.0000005550000000,-0.0000005880000000,-0.0000000010300000,0.0000000327000000,0.0000029800000000,0.0000051700000000,0.0000029800000000,0.0000024100000000,-0.0000035600000000,-0.0000025200000000,0.0000041600000000,-0.0000156000000000,-0.0000006270000000,0.0000199000000000,0.0018200000000000,0.0021000000000000
400.0000000000000000,-0.0000027100000000,-0.0000026900000000,-0.0000028700000000,0.0000000038100000,0.0000000770000000,0.0000039500000000,0.0000068500000000,0.0000039500000000,0.0000011600000000,-0.0000067500000000,0.0000042700000000,0.0000188000000000,-0.0000907000000000,0.0000023200000000,0.0000468000000000,0.0024000000000000,0.0027800000000000
500.0000000000000000,-0.0000055100000000,-0.0000054800000000,-0.0000058700000000,0.0000000048400000,0.0000001020000000,0.0000044100000000,0.0000076600000000,0.0000044200000000,-0.0000012700000000,-0.0000101000000000,0.0000186000000000,0.0000386000000000,-0.0001950000000000,0.0000029400000000,0.0000621000000000,0.0026800000000000,0.0031000000000000
600.0000000000000000,-0.0000060800000000,-0.0000060400000000,-0.0000064600000000,0.0000000053900000,0.0000001010000000,0.0000062900000000,0.0000109000000000,0.0000062900000000,0.0000000236000000,-0.0000126000000000,0.0000179000000000,0.0000427000000000,-0.0002120000000000,0.0000032800000000,0.0000613000000000,0.0038200000000000,0.0044200000000000
700.0000000000000000,-0.0000109000000000,-0.0000108000000000,-0.0000115000000000,0.0000000115000000,0.0000001610000000,0.0000078300000000,0.0000136000000000,0.0000078400000000,-0.0000033400000000,-0.0000190000000000,0.0000291000000000,0.0000763000000000,-0.0003760000000000,0.0000069800000000,0.0000981000000000,0.0047600000000000,0.0055100000000000
800.0000000000000000,-0.0000122000000000,-0.0000121000000000,-0.0000129000000000,0.0000000120000000,0.0000001710000000,0.0000084500000000,0.0000147000000000,0.0000084600000000,-0.0000040900000000,-0.0000210000000000,0.0000328000000000,0.0000850000000000,-0.0004210000000000,0.0000072800000000,0.0001040000000000,0.0051400000000000,0.0059400000000000
900.0000000000000000,-0.0000097900000000,-0.0000096900000000,-0.0000103000000000,0.0000000095900000,0.0000001960000000,0.0000106000000000,0.0000184000000000,0.0000106000000000,0.0000005740000000,-0.0000207000000000,0.0000060300000000,0.0000687000000000,-0.0003180000000000,0.0000058300000000,0.0001190000000000,0.0064600000000000,0.0074700000000000
1000.0000000000000000,-0.0000113000000000,-0.0000112000000000,-0.0000119000000000,0.0000000106000000,0.0000002230000000,0.0000110000000000,0.0000191000000000,0.0000110000000000,-0.0000005920000000,-0.0000227000000000,0.0000109000000000,0.0000792000000000,-0.0003720000000000,0.0000064600000000,0.0001360000000000,0.0067100000000000,0.0077600000000000
1100.0000000000000000,-0.0000105000000000,-0.0000104000000000,-0.0000111000000000,0.0000000096900000,0.0000002210000000,0.0000113000000000,0.0000195000000000,0.0000113000000000,0.0000005100000000,-0.0000221000000000,0.0000019800000000,0.0000737000000000,-0.0003360000000000,0.0000058900000000,0.0001340000000000,0.0068600000000000,0.0079300000000000
1200.0000000000000000,-0.0000100000000000,-0.0000098900000000,-0.0000105000000000,0.0000000081700000,0.0000002430000000,0.0000127000000000,0.0000221000000000,0.0000128000000000,0.0000024800000000,-0.0000230000000000,-0.0000101000000000,0.0000708000000000,-0.0003090000000000,0.0000049700000000,0.0001480000000000,0.0077500000000000,0.0089600000000000
1300.0000000000000000,-0.0000135000000000,-0.0000134000000000,-0.0000142000000000,0.0000000126000000,0.0000002640000000,0.0000137000000000,0.0000237000000000,0.0000137000000000,-0.0000001790000000,-0.0000276000000000,0.0000011000000000,0.0000945000000000,-0.0004320000000000,0.0000076900000000,0.0001600000000000,0.0083300000000000,0.0096300000000000
1400.0000000000000000,-0.0000162000000000,-0.0000160000000000,-0.0000171000000000,0.0000000147000000,0.0000003000000000,0.0000147000000000,0.0000255000000000,0.0000147000000000,-0.0000018900000000,-0.0000314000000000,0.0000012900000000,0.0001140000000000,-0.0005170000000000,0.0000089400000000,0.0001830000000000,0.0089600000000000,0.0104000000000000
